Date,Location,Max Temperature (C),Min Temperature (C),Precipitation (mm),Wind Speed (km/h),Humidity (%),Cloud Cover (%)
2023-01-01,London,8,3,5,25,85,80
2023-01-02,London,6,1,7,20,90,85
2023-01-03,London,10,4,3,18,75,75
2023-01-04,London,7,2,2,22,80,70
2023-01-05,London,9,5,6,15,78,78
2023-01-06,London,5,0,8,18,82,82
2023-01-07,London,4,-1,10,20,85,85
2023-01-08,London,7,2,5,16,78,75
2023-01-09,London,8,3,3,14,72,70
2023-01-10,London,6,1,1,12,68,68
2023-01-11,London,9,4,4,18,75,72
2023-01-12,London,11,6,2,20,80,78
2023-01-13,London,10,5,1,22,85,80
2023-01-14,London,8,3,3,15,88,85
2023-01-15,London,6,1,5,12,90,88
2023-01-16,London,5,0,7,16,82,82
2023-01-17,London,9,4,8,20,78,75
2023-01-18,London,11,6,6,18,75,70
2023-01-19,London,10,5,4,14,70,68
2023-01-20,London,8,3,2,12,68,65
2023-01-21,London,7,2,1,15,72,72
2023-01-22,London,10,4,3,18,75,78
2023-01-23,London,12,6,5,20,80,80
2023-01-24,London,11,5,7,22,85,85
2023-01-25,London,9,4,8,16,88,88
2023-01-26,London,8,3,6,14,90,82
2023-01-27,London,7,2,4,18,85,78
2023-01-28,London,10,5,2,20,80,75
2023-01-29,London,12,6,1,16,75,70
2023-01-30,London,11,5,3,14,72,68
2023-01-31,London,9,4,5,18,78,72
2023-01-01,Tokyo,12,5,0.5,10,55,20
2023-01-02,Tokyo,14,7,0.2,12,60,15
2023-01-03,Tokyo,16,8,0,14,58,12
2023-01-04,Tokyo,15,6,0,16,62,18
2023-01-05,Tokyo,13,4,0.1,18,65,25
2023-01-06,Tokyo,10,3,0.2,15,68,22
2023-01-07,Tokyo,9,2,0.3,14,70,20
2023-01-08,Tokyo,11,4,0.1,16,72,18
2023-01-09,Tokyo,13,6,0,18,75,15
2023-01-10,Tokyo,12,5,0,20,78,12
2023-01-11,Tokyo,10,3,0,14,80,10
2023-01-12,Tokyo,8,1,0,12,85,8
2023-01-13,Tokyo,7,0,0,10,88,10
2023-01-14,Tokyo,9,2,0,15,90,12
2023-01-15,Tokyo,11,4,0,18,85,15
2023-01-16,Tokyo,13,6,0.1,20,80,18
2023-01-17,Tokyo,12,5,0.2,16,75,20
2023-01-18,Tokyo,10,3,0.3,14,72,22
2023-01-19,Tokyo,8,1,0.1,18,68,25
2023-01-20,Tokyo,7,0,0.2,20,70,28
2023-01-21,Tokyo,9,2,0,14,75,30
2023-01-22,Tokyo,11,4,0.1,16,78,32
2023-01-23,Tokyo,13,6,0.2,18,80,35
2023-01-24,Tokyo,12,5,0.3,22,82,38
2023-01-25,Tokyo,10,3,0.1,20,85,40
2023-01-26,Tokyo,8,1,0,18,88,42
2023-01-27,Tokyo,7,0,0.2,15,90,45
2023-01-28,Tokyo,9,2,0.3,12,85,48
2023-01-29,Tokyo,11,4,0.1,14,82,50
2023-01-30,Tokyo,13,6,0,16,78,45
2023-01-31,Tokyo,12,5,0.1,18,75,42
2023-01-01,Beijing,-2,-8,1,10,45,5
2023-01-02,Beijing,-3,-10,0.5,12,40,8
2023-01-03,Beijing,1,-5,0,15,50,10
2023-01-04,Beijing,-1,-7,0,14,48,12
2023-01-05,Beijing,-5,-12,0,18,42,15
2023-01-06,Beijing,-3,-9,0.2,10,44,10
2023-01-07,Beijing,-1,-6,0.5,12,38,12
2023-01-08,Beijing,2,-4,0,14,42,8
2023-01-09,Beijing,0,-8,0,16,38,10
2023-01-10,Beijing,3,-3,0.1,18,40,7
2023-01-11,Beijing,1,-7,0,14,36,9
2023-01-12,Beijing,-2,-10,0.5,12,38,12
2023-01-13,Beijing,-1,-6,0,14,40,8
2023-01-14,Beijing,3,-2,0.2,16,36,10
2023-01-15,Beijing,4,0,0.1,18,38,7
2023-01-16,Beijing,2,-4,0,14,36,9
2023-01-17,Beijing,1,-8,0.5,12,40,8
2023-01-18,Beijing,3,-3,0,16,38,10
2023-01-19,Beijing,0,-9,0.1,14,36,9
2023-01-20,Beijing,2,-5,0.2,18,40,7
2023-01-21,Beijing,4,1,0,14,36,9
2023-01-22,Beijing,3,-3,0.5,12,38,8
2023-01-23,Beijing,1,-7,0,14,40,10
2023-01-24,Beijing,-2,-10,0,16,36,9
2023-01-25,Beijing,0,-8,0.2,14,38,10
2023-01-26,Beijing,3,-2,0,16,40,8
2023-01-27,Beijing,4,1,0.1,18,36,10
2023-01-28,Beijing,2,-4,0.2,14,38,7
2023-01-29,Beijing,1,-7,0,16,36,9
2023-01-30,Beijing,3,-3,0.5,12,40,8
2023-01-31,Beijing,0,-9,0,14,38,10
2023-01-01,Sydney,30,20,0,15,40,10
2023-01-02,Sydney,28,18,0,18,45,15
2023-01-03,Sydney,32,22,1,20,38,8
2023-01-04,Sydney,29,19,0.5,16,42,12
2023-01-05,Sydney,31,21,0,14,35,5
2023-01-06,Sydney,33,23,0,16,36,7
2023-01-07,Sydney,30,20,0,14,38,9
2023-01-08,Sydney,29,19,0.2,18,40,8
2023-01-09,Sydney,28,18,0.5,20,37,10
2023-01-10,Sydney,32,22,0,15,42,6
2023-01-11,Sydney,31,21,0,16,39,8
2023-01-12,Sydney,29,19,0,14,41,7
2023-01-13,Sydney,30,20,0,18,38,9
2023-01-14,Sydney,33,23,0,20,35,5
2023-01-15,Sydney,34,24,0,15,37,8
2023-01-16,Sydney,32,22,0.1,16,39,7
2023-01-17,Sydney,31,21,0,14,40,6
2023-01-18,Sydney,29,19,0,18,38,8
2023-01-19,Sydney,28,18,0.3,20,36,7
2023-01-20,Sydney,30,20,0,15,42,5
2023-01-21,Sydney,33,23,0,16,39,8
2023-01-22,Sydney,34,24,0,18,35,6
2023-01-23,Sydney,32,22,0,20,37,7
2023-01-24,Sydney,31,21,0,15,38,9
2023-01-25,Sydney,29,19,0,14,41,6
2023-01-26,Sydney,30,20,0,16,40,8
2023-01-27,Sydney,33,23,0,18,36,5
2023-01-28,Sydney,34,24,0.2,20,38,7
2023-01-29,Sydney,32,22,0,15,39,6
2023-01-30,Sydney,31,21,0,16,37,8
2023-01-31,Sydney,29,19,0.1,18,40,7
2023-01-01,Paris,6,1,3,22,88,75
2023-01-02,Paris,4,-2,5,18,92,80
2023-01-03,Paris,7,2,2,20,80,70
2023-01-04,Paris,5,0,1,24,85,78
2023-01-05,Paris,8,3,4,18,78,68
2023-01-06,Paris,6,1,3,22,85,75
2023-01-07,Paris,4,-2,2,20,90,80
2023-01-08,Paris,7,2,1,18,82,72
2023-01-09,Paris,5,0,3,24,88,78
2023-01-10,Paris,9,4,2,18,75,70
2023-01-11,Paris,8,3,4,20,80,68
2023-01-12,Paris,6,1,2,22,85,72
2023-01-13,Paris,7,2,1,18,82,70
2023-01-14,Paris,5,0,3,24,88,75
2023-01-15,Paris,8,3,2,18,75,68
2023-01-16,Paris,9,4,1,20,78,72
2023-01-17,Paris,6,1,4,22,82,78
2023-01-18,Paris,7,2,2,18,80,70
2023-01-19,Paris,5,0,1,24,85,68
2023-01-20,Paris,8,3,3,18,75,72
2023-01-21,Paris,9,4,2,20,80,68
2023-01-22,Paris,6,1,4,22,85,75
2023-01-23,Paris,7,2,1,18,82,72
2023-01-24,Paris,5,0,3,24,88,70
2023-01-25,Paris,8,3,2,18,75,78
2023-01-26,Paris,9,4,1,20,78,70
2023-01-27,Paris,6,1,4,22,82,72
2023-01-28,Paris,7,2,2,18,80,68
2023-01-29,Paris,5,0,1,24,85,72
2023-01-30,Paris,8,3,3,18,75,68
2023-01-31,Paris,9,4,2,20,80,75
2023-01-01,Berlin,2,-3,5,15,85,75
2023-01-02,Berlin,1,-4,4,18,80,70
2023-01-03,Berlin,3,0,3,20,75,65
2023-01-04,Berlin,2,-1,2,16,78,60
2023-01-05,Berlin,0,-5,1,14,82,55
2023-01-06,Berlin,-1,-6,0.5,16,80,50
2023-01-07,Berlin,1,-4,0,18,75,45
2023-01-08,Berlin,2,-3,0.2,20,70,40
2023-01-09,Berlin,3,0,0.1,15,72,35
2023-01-10,Berlin,4,1,0,14,68,30
2023-01-11,Berlin,3,0,0,16,70,25
2023-01-12,Berlin,2,-1,0,18,75,20
2023-01-13,Berlin,1,-2,0,20,78,15
2023-01-14,Berlin,3,0,0,14,72,18
2023-01-15,Berlin,4,1,0.1,16,75,22
2023-01-16,Berlin,3,0,0,18,70,25
2023-01-17,Berlin,2,-1,0,14,68,20
2023-01-18,Berlin,1,-2,0,16,72,15
2023-01-19,Berlin,3,0,0.2,18,75,18
2023-01-20,Berlin,4,1,0,20,70,22
2023-01-21,Berlin,5,2,0,14,68,25
2023-01-22,Berlin,3,0,0,16,72,20
2023-01-23,Berlin,2,-1,0,18,75,15
2023-01-24,Berlin,1,-2,0,14,72,18
2023-01-25,Berlin,3,0,0.1,16,75,22
2023-01-26,Berlin,4,1,0,18,70,25
2023-01-27,Berlin,5,2,0,20,68,20
2023-01-28,Berlin,3,0,0,14,72,15
2023-01-29,Berlin,2,-1,0,16,75,18
2023-01-30,Berlin,1,-2,0.2,18,70,22
2023-01-31,Berlin,3,0,0,20,68,25
2023-01-01,Cairo,20,10,0,15,40,5
2023-01-02,Cairo,22,12,0,18,45,8
2023-01-03,Cairo,25,15,0,20,38,10
2023-01-04,Cairo,21,11,0,16,42,12
2023-01-05,Cairo,19,9,0,14,35,15
2023-01-06,Cairo,18,8,0,16,36,18
2023-01-07,Cairo,22,12,0,14,38,20
2023-01-08,Cairo,24,14,0,20,40,22
2023-01-09,Cairo,26,16,0,15,37,25
2023-01-10,Cairo,27,17,0,14,41,28
2023-01-11,Cairo,25,15,0,16,39,30
2023-01-12,Cairo,23,13,0,18,35,32
2023-01-13,Cairo,22,12,0,14,41,35
2023-01-14,Cairo,20,10,0,16,39,38
2023-01-15,Cairo,19,9,0,15,37,40
2023-01-16,Cairo,21,11,0,18,35,42
2023-01-17,Cairo,24,14,0,16,39,45
2023-01-18,Cairo,26,16,0,14,41,48
2023-01-19,Cairo,28,18,0,20,40,50
2023-01-20,Cairo,29,19,0,18,35,52
2023-01-21,Cairo,27,17,0,16,37,55
2023-01-22,Cairo,25,15,0,14,41,58
2023-01-23,Cairo,23,13,0,18,35,60
2023-01-24,Cairo,22,12,0,16,39,62
2023-01-25,Cairo,24,14,0,14,41,65
2023-01-26,Cairo,26,16,0,20,40,68
2023-01-27,Cairo,28,18,0,18,35,70
2023-01-28,Cairo,29,19,0,16,37,72
2023-01-29,Cairo,27,17,0,14,41,75
2023-01-30,Cairo,25,15,0,18,35,78
2023-01-31,Cairo,23,13,0,16,39,80
2023-01-01,New Delhi,22,9,0.5,10,65,20
2023-01-02,New Delhi,20,8,1,12,60,25
2023-01-03,New Delhi,23,10,0,15,55,22
2023-01-04,New Delhi,21,9,0.2,14,58,18
2023-01-05,New Delhi,19,7,0,16,62,15
2023-01-06,New Delhi,18,6,0,18,65,12
2023-01-07,New Delhi,21,8,0.1,20,60,18
2023-01-08,New Delhi,24,11,0,22,55,20
2023-01-09,New Delhi,26,13,0,18,50,15
2023-01-10,New Delhi,28,15,0,16,48,12
2023-01-11,New Delhi,25,12,0.3,14,52,18
2023-01-12,New Delhi,23,10,0,16,55,22
2023-01-13,New Delhi,22,9,0.2,18,60,25
2023-01-14,New Delhi,24,11,0,20,58,20
2023-01-15,New Delhi,26,13,0,22,55,18
2023-01-16,New Delhi,28,15,0.1,18,50,15
2023-01-17,New Delhi,27,14,0,16,48,12
2023-01-18,New Delhi,25,12,0.3,14,52,18
2023-01-19,New Delhi,23,10,0,16,55,22
2023-01-20,New Delhi,22,9,0.2,18,60,25
2023-01-21,New Delhi,24,11,0,20,58,20
2023-01-22,New Delhi,26,13,0,22,55,18
2023-01-23,New Delhi,28,15,0.1,18,50,15
2023-01-24,New Delhi,27,14,0,16,48,12
2023-01-25,New Delhi,25,12,0.3,14,52,18
2023-01-26,New Delhi,23,10,0,16,55,22
2023-01-27,New Delhi,22,9,0.2,18,60,25
2023-01-28,New Delhi,24,11,0,20,58,20
2023-01-29,New Delhi,26,13,0,22,55,18
2023-01-30,New Delhi,28,15,0.1,18,50,15
2023-01-31,New Delhi,27,14,0,16,48,12
